文件,总代码量,总注释量,总空行量,实际代码量,实际代码比率,总注释比率,总空行比率
scrap_clipboard.py,87,6,17,64,0.7356321839080459,0.06896551724137931,0.19540229885057472
dxy_raw_profile.py,86,4,7,75,0.8720930232558141,0.04651162790697674,0.08139534883720931
tutorial.py,85,25,10,50,0.5882352941176471,0.29411764705882354,0.1176470588235294
类的特殊成员方法.py,85,17,25,43,0.5058823529411764,0.2,0.29411764705882354
liquid.py,85,7,18,60,0.7058823529411765,0.08235294117647059,0.21176470588235294
py_array.py,84,29,8,47,0.5595238095238095,0.34523809523809523,0.09523809523809523
iterable.py,81,18,10,53,0.654320987654321,0.2222222222222222,0.12345679012345677
ski_sm.py,81,3,15,63,0.7777777777777778,0.037037037037037035,0.1851851851851852
login_spider.py,81,3,4,74,0.9135802469135802,0.037037037037037035,0.04938271604938271
sc_scr_down.py,80,10,12,58,0.725,0.125,0.15
tianyanSpider.py,80,0,9,71,0.8875,0.0,0.1125
htmlFilter.py,79,14,11,54,0.6835443037974683,0.17721518987341772,0.13924050632911392
fileOp.py,79,37,9,33,0.4177215189873418,0.4683544303797468,0.1139240506329114
heap_1.py,79,0,12,67,0.8481012658227848,0.0,0.1518987341772152
heap.py,78,5,9,64,0.8205128205128205,0.0641025641025641,0.1153846153846154
ski-byes.py,77,1,15,61,0.7922077922077922,0.012987012987012988,0.1948051948051948
_numpysndarray.py,76,35,17,24,0.3157894736842105,0.4605263157894737,0.2236842105263158
dictionary.py,76,17,2,57,0.75,0.2236842105263158,0.02631578947368421
yield_learn.py,76,11,20,45,0.5921052631578947,0.14473684210526316,0.2631578947368421
py_opera.py,76,39,2,35,0.4605263157894737,0.5131578947368421,0.02631578947368421
cs.py,76,21,20,35,0.4605263157894737,0.27631578947368424,0.2631578947368421
cursors_test.py,76,4,12,60,0.7894736842105263,0.05263157894736842,0.15789473684210525
matlibplot_bar.py,75,17,9,49,0.6533333333333333,0.22666666666666666,0.12
imageext_test.py,74,0,5,69,0.9324324324324323,0.0,0.06756756756756757
index_slides.py,74,0,13,61,0.8243243243243243,0.0,0.17567567567567569
test_machinery.py,74,1,20,53,0.7162162162162162,0.013513513513513514,0.2702702702702703
new_py_neo4j_v4.py,73,11,8,54,0.7397260273972602,0.1506849315068493,0.1095890410958904
py_operation.py,73,35,5,33,0.4520547945205479,0.4794520547945205,0.0684931506849315
moveit.py,73,9,20,44,0.6027397260273972,0.1232876712328767,0.273972602739726
shutil模块.py,72,29,14,29,0.4027777777777778,0.4027777777777778,0.19444444444444445
shutil模块.py,72,29,14,29,0.4027777777777778,0.4027777777777778,0.19444444444444445
weibo.py,72,0,12,60,0.8333333333333334,0.0,0.16666666666666666
configparser模块.py,71,28,9,34,0.4788732394366197,0.39436619718309857,0.1267605633802817
buy_car.py,71,0,11,60,0.8450704225352113,0.0,0.15492957746478872
ganji_phone.py,70,1,9,60,0.8571428571428571,0.014285714285714284,0.12857142857142856
ten_boader.py,70,9,8,53,0.7571428571428571,0.12857142857142856,0.11428571428571427
set.py,69,24,3,42,0.6086956521739131,0.3478260869565217,0.043478260869565216
hdf_spider.py,68,0,6,62,0.9117647058823528,0.0,0.08823529411764706
pkgdata.py,67,8,10,49,0.7313432835820896,0.11940298507462685,0.14925373134328354
dog.py,67,20,12,35,0.5223880597014925,0.29850746268656714,0.1791044776119403
method2.py,65,4,0,61,0.9384615384615383,0.061538461538461535,0.0
异常处理.py,65,19,11,35,0.5384615384615384,0.2923076923076923,0.16923076923076924
learn_qucksort.py,65,0,4,61,0.9384615384615383,0.0,0.061538461538461535
learn.py,65,6,7,52,0.8,0.09230769230769233,0.1076923076923077
scrapy_asy.py,65,1,13,51,0.7846153846153846,0.015384615384615384,0.2
interaction.py,64,10,17,37,0.578125,0.15625,0.265625
test_haproxy.py,64,2,6,56,0.875,0.03125,0.09375
layer.py,64,14,6,44,0.6875,0.21875,0.09375
dropout_learn.py,63,6,6,51,0.8095238095238095,0.09523809523809523,0.09523809523809523
scrapy_ multi_Progress.py,63,4,9,50,0.7936507936507936,0.06349206349206349,0.14285714285714285
sysfont_test.py,63,3,25,35,0.5555555555555556,0.047619047619047616,0.3968253968253968
method1.py,62,4,2,56,0.9032258064516128,0.06451612903225806,0.03225806451612903
overlay.py,62,5,7,50,0.8064516129032258,0.08064516129032258,0.1129032258064516
get_xiciip.py,62,1,12,49,0.7903225806451613,0.016129032258064516,0.1935483870967742
3level_menus.py,61,2,2,57,0.9344262295081968,0.032786885245901634,0.032786885245901634
stack_1.py,61,21,4,36,0.5901639344262295,0.3442622950819672,0.06557377049180327
xueyuan.py,61,3,5,53,0.8688524590163934,0.049180327868852465,0.08196721311475409
xml操作.py,60,7,11,42,0.7,0.11666666666666667,0.18333333333333326
pandas_setdata.py,60,21,2,37,0.6166666666666667,0.35,0.03333333333333333
sadwdq.py,60,21,12,27,0.45,0.35,0.2
freetype.py,60,5,9,46,0.7666666666666667,0.08333333333333333,0.15
CQtianqi.py,59,5,7,47,0.7966101694915254,0.0847457627118644,0.11864406779661014
os模块.py,59,17,5,37,0.6271186440677966,0.288135593220339,0.0847457627118644
seaborn_learn.py,59,21,6,32,0.5423728813559322,0.3559322033898305,0.1016949152542373
phoneNumber_search.py,58,9,15,34,0.5862068965517241,0.15517241379310345,0.25862068965517243
继承.py,58,4,13,41,0.7068965517241379,0.06896551724137931,0.2241379310344828
image__save_gl_surface_test.py,58,0,6,52,0.8965517241379308,0.0,0.10344827586206896
phoneNumber_search.py,58,9,15,34,0.5862068965517241,0.15517241379310345,0.25862068965517243
sound.py,57,9,16,32,0.5614035087719298,0.15789473684210525,0.2807017543859649
dp.py,57,8,5,44,0.7719298245614035,0.14035087719298245,0.08771929824561403
ftp_client.py,57,4,4,49,0.8596491228070176,0.07017543859649122,0.07017543859649122
pipelines.py,57,9,13,35,0.6140350877192983,0.15789473684210525,0.2280701754385965
matli.py,57,22,4,31,0.543859649122807,0.3859649122807017,0.07017543859649122
headless_no_windows_needed.py,55,10,19,26,0.4727272727272727,0.18181818181818185,0.34545454545454546
tensor_mnist.py,55,12,8,35,0.6363636363636364,0.21818181818181814,0.14545454545454545
